"model","node","Parameter","Cohens_f_partial","CI","CI_low","CI_high","tract"
"30",31,"mean_RMSt",0.229191020072088,0.9,0.0675471426777925,0.388687881586116,"Left_Arcuate"
"30",31,"timeintervention",0.151872344786199,0.9,0,0.326290510170907,"Left_Arcuate"
"31",32,"time",0.234065646561386,0.9,0,0.443745110783774,"Left_Arcuate"
"31",32,"intervention",0.125008777723932,0.9,0,0.279116321785126,"Left_Arcuate"
"31",32,"mean_RMSt",0.22212934342421,0.9,0.0616031665541765,0.380110971595419,"Left_Arcuate"
"31",32,"timeintervention",0.160955051776952,0.9,0,0.336064087432779,"Left_Arcuate"
"32",33,"time",0.237150886491756,0.9,0,0.444794690973798,"Left_Arcuate"
"32",33,"intervention",0.170504204154824,0.9,0,0.333752271722568,"Left_Arcuate"
"32",33,"mean_RMSt",0.218776475556227,0.9,0.0590289568283759,0.375781463259822,"Left_Arcuate"
"32",33,"timeintervention",0.165627551164515,0.9,0,0.340279666666838,"Left_Arcuate"
"33",34,"time",0.225677861746073,0.9,0,0.432940029371113,"Left_Arcuate"
"33",34,"intervention",0.201167249715865,0.9,0,0.368029828677973,"Left_Arcuate"
"33",34,"mean_RMSt",0.22750675700676,0.9,0.0663538868541184,0.386457905500569,"Left_Arcuate"
"33",34,"timeintervention",0.159439776504857,0.9,0,0.332567175247262,"Left_Arcuate"
"34",35,"time",0.217128732219681,0.9,0,0.424777443184605,"Left_Arcuate"
"34",35,"intervention",0.204465171929001,0.9,0,0.371171890338139,"Left_Arcuate"
"34",35,"mean_RMSt",0.249748223168917,0.9,0.0859731376076798,0.412016236938652,"Left_Arcuate"
"34",35,"timeintervention",0.126825110463818,0.9,0,0.290963341464779,"Left_Arcuate"
"35",36,"time",0.236060417348357,0.9,0,0.44475113664787,"Left_Arcuate"
"35",36,"intervention",0.174913665863257,0.9,0,0.337095309193461,"Left_Arcuate"
"35",36,"mean_RMSt",0.284175670120998,0.9,0.116238521116163,0.450693104217691,"Left_Arcuate"
"35",36,"timeintervention",0.0903754618435492,0.9,0,0.234429880409581,"Left_Arcuate"
"36",37,"time",0.264572288786918,0.9,0.041559442892613,0.47409252735716,"Left_Arcuate"
"36",37,"intervention",0.134282564590649,0.9,0,0.288040054167166,"Left_Arcuate"
"36",37,"mean_RMSt",0.318372848687913,0.9,0.146666350479245,0.488486625346297,"Left_Arcuate"
"36",37,"timeintervention",0.0680386120464115,0.9,0,0.184597366283074,"Left_Arcuate"
"37",38,"time",0.271529947295769,0.9,0.0502886638232661,0.482268883767242,"Left_Arcuate"
"37",38,"intervention",0.102552149239811,0.9,0,0.245495487145477,"Left_Arcuate"
"37",38,"mean_RMSt",0.345078295955052,0.9,0.170057311442018,0.51833416874061,"Left_Arcuate"
"37",38,"timeintervention",0.0764205327422706,0.9,0,0.205907719409155,"Left_Arcuate"
"38",39,"time",0.251236692563526,0.9,0,0.461431032055314,"Left_Arcuate"
"38",39,"intervention",0.0886971714968762,0.9,0,0.223955626331128,"Left_Arcuate"
"38",39,"mean_RMSt",0.32575574136948,0.9,0.152675608612518,0.497187772213381,"Left_Arcuate"
"38",39,"timeintervention",0.0910565606804751,0.9,0,0.236002762718396,"Left_Arcuate"
"39",40,"time",0.21019765524705,0.9,0,0.417059346653326,"Left_Arcuate"
"39",40,"intervention",0.0927902318186029,0.9,0,0.230530934491673,"Left_Arcuate"
"39",40,"mean_RMSt",0.288417449189085,0.9,0.1219030258325,0.453535237522843,"Left_Arcuate"
"39",40,"timeintervention",0.127200887848575,0.9,0,0.190594903952448,"Left_Arcuate"
"4",5,"time",0.040211938271675,0.9,0,0.221470967180536,"Left_Arcuate"
"4",5,"intervention",0.196666362942778,0.9,0,0.359221980357409,"Left_Arcuate"
"4",5,"mean_RMSt",0.105125546543182,0.9,0,0.255151253042894,"Left_Arcuate"
"4",5,"timeintervention",0.161175678314079,0.9,0,0.328277186523923,"Left_Arcuate"
"40",41,"time",0.182230954103352,0.9,0,0.386467105968904,"Left_Arcuate"
"40",41,"intervention",0.0926966500169807,0.9,0,0.230282172181219,"Left_Arcuate"
"40",41,"mean_RMSt",0.245820866535551,0.9,0.0844822775003241,0.405702316831539,"Left_Arcuate"
"40",41,"timeintervention",0.162567170895566,0.9,0,0.334685240152986,"Left_Arcuate"
"41",42,"time",0.177732783910775,0.9,0,0.380603371567803,"Left_Arcuate"
"41",42,"intervention",0.0929498311144064,0.9,0,0.23056958420088,"Left_Arcuate"
"41",42,"mean_RMSt",0.204572441702529,0.9,0.0415225649233153,0.361699496299178,"Left_Arcuate"
"41",42,"timeintervention",0.163873196403825,0.9,0,0.335424426297068,"Left_Arcuate"
"42",43,"time",0.192455711242953,0.9,0,0.394512361437134,"Left_Arcuate"
"42",43,"intervention",0.102852086511696,0.9,0,0.245234801579612,"Left_Arcuate"
"42",43,"mean_RMSt",0.177342403879615,0.9,0,0.334027399781505,"Left_Arcuate"
"42",43,"timeintervention",0.151329928100909,0.9,0,0.319428670461547,"Left_Arcuate"
"43",44,"time",0.21412925934511,0.9,0,0.415991179368428,"Left_Arcuate"
"43",44,"intervention",0.124718445776525,0.9,0,0.274362651513406,"Left_Arcuate"
"43",44,"mean_RMSt",0.163221021160355,0.9,0,0.32132755467589,"Left_Arcuate"
"43",44,"timeintervention",0.141723696566836,0.9,0,0.30696887741082,"Left_Arcuate"
"44",45,"time",0.242954194870932,0.9,0.00938705995073332,0.444652712088055,"Left_Arcuate"
"44",45,"intervention",0.142804400767616,0.9,0,0.296105532055723,"Left_Arcuate"
"44",45,"mean_RMSt",0.155734798360172,0.9,0,0.315227044453924,"Left_Arcuate"
"44",45,"timeintervention",0.139033922684161,0.9,0,0.303006264905187,"Left_Arcuate"
"45",46,"time",0.264701386090624,0.9,0.0554478079822055,0.466175718279345,"Left_Arcuate"
"45",46,"intervention",0.168097747284881,0.9,0,0.325270643078424,"Left_Arcuate"
"45",46,"mean_RMSt",0.15278514460967,0.9,0,0.313172321467605,"Left_Arcuate"
"45",46,"timeintervention",0.132549066137039,0.9,0,0.198608492099913,"Left_Arcuate"
"46",47,"time",0.290724045378369,0.9,0.0849142084605569,0.492984699844474,"Left_Arcuate"
"46",47,"intervention",0.190916033370518,0.9,0,0.351164227814063,"Left_Arcuate"
"46",47,"mean_RMSt",0.142644744056877,0.9,0,0.303625537704428,"Left_Arcuate"
"46",47,"timeintervention",0.130869203138119,0.9,0,0.29204081351446,"Left_Arcuate"
"47",48,"time",0.328991169305854,0.9,0.121889744223865,0.53353202947329,"Left_Arcuate"
"47",48,"intervention",0.206822136468395,0.9,0,0.369561840608916,"Left_Arcuate"
"47",48,"mean_RMSt",0.121077162163361,0.9,0,0.282682379437612,"Left_Arcuate"
"47",48,"timeintervention",0.109520732861307,0.9,0,0.263113434319714,"Left_Arcuate"
"48",49,"time",0.365545488065521,0.9,0.154431399715491,0.573949160343537,"Left_Arcuate"
"48",49,"intervention",0.222156326750051,0.9,0,0.388261384137689,"Left_Arcuate"
"48",49,"mean_RMSt",0.0910431458266448,0.9,0,0.252833736281194,"Left_Arcuate"
"48",49,"timeintervention",0.0963347110712669,0.9,0,0.144345729927392,"Left_Arcuate"
"49",50,"time",0.369226997473226,0.9,0.155176091032715,0.580467828319902,"Left_Arcuate"
"49",50,"intervention",0.235548606925304,0.9,0,0.405006988929566,"Left_Arcuate"
"49",50,"mean_RMSt",0.0651531418755586,0.9,0,0.225231703173761,"Left_Arcuate"
"49",50,"timeintervention",0.0836254807359355,0.9,0,0.221137446555829,"Left_Arcuate"
"5",6,"time",0.0663281041652041,0.9,0,0.266150745433637,"Left_Arcuate"
"5",6,"intervention",0.203381699110138,0.9,0,0.369622088922686,"Left_Arcuate"
"5",6,"mean_RMSt",0.0770925534950051,0.9,0,0.234044248464869,"Left_Arcuate"
"5",6,"timeintervention",0.176981329382361,0.9,0,0.265184780118541,"Left_Arcuate"
"50",51,"time",0.37732718375218,0.9,0.160115356132647,0.591602397845979,"Left_Arcuate"
"50",51,"intervention",0.23280117440402,0.9,0,0.403337851991128,"Left_Arcuate"
"50",51,"mean_RMSt",0.0275581331000055,0.9,0,0.172784391637147,"Left_Arcuate"
"50",51,"timeintervention",0.0708732519246338,0.9,0,0.192274846741731,"Left_Arcuate"
"51",52,"time",0.39713415413762,0.9,0.177082394668018,0.61406965687576,"Left_Arcuate"
"51",52,"intervention",0.2032088838663,0.9,0,0.369957514669978,"Left_Arcuate"
"51",52,"mean_RMSt",0.00457846094380961,0.9,0,0,"Left_Arcuate"
"51",52,"timeintervention",0.0350736403755521,0.9,0,0,"Left_Arcuate"
"52",53,"time",0.414254922466766,0.9,0.192479651087292,0.632769689855079,"Left_Arcuate"
"52",53,"intervention",0.164881959558144,0.9,0,0.325369054740269,"Left_Arcuate"
"52",53,"mean_RMSt",0.0363857527951053,0.9,0,0.199912990962379,"Left_Arcuate"
"52",53,"timeintervention",0.0198013277199837,0.9,0,0,"Left_Arcuate"
"53",54,"time",0.418922067638335,0.9,0.196898834783442,0.637651321221478,"Left_Arcuate"
