"model","node","fstat","pval","variable","tract"
"37",38,0.400320547084369,0.671507484804535,"intervention","leftAF"
"37",38,11.2552269751139,0.0011441789633416,"mean_RMSt","leftAF"
"37",38,0.177967538297315,0.837402969877631,"timeintervention","leftAF"
"38",39,3.94968176929173,0.0512613268388977,"time","leftAF"
"38",39,0.298306397077124,0.742940662850461,"intervention","leftAF"
"38",39,10.1880536699596,0.00191106423301637,"mean_RMSt","leftAF"
"38",39,0.252646949722854,0.777551563171739,"timeintervention","leftAF"
"39",40,2.83279863772002,0.0972211300821494,"time","leftAF"
"39",40,0.327664034720119,0.721616473374873,"intervention","leftAF"
"39",40,8.52630469997238,0.00430468444446677,"mean_RMSt","leftAF"
"39",40,0.503943114714076,0.606585463449832,"timeintervention","leftAF"
"4",5,0.113719269296604,0.73695327058615,"time","leftAF"
"4",5,1.51664418237708,0.225812773423617,"intervention","leftAF"
"4",5,1.33126113034034,0.250865052343083,"mean_RMSt","leftAF"
"4",5,0.883010106894507,0.418225004403645,"timeintervention","leftAF"
"40",41,2.17482755096013,0.145076543270318,"time","leftAF"
"40",41,0.327791387204245,0.721522943526529,"intervention","leftAF"
"40",41,6.54290540616417,0.011913390599651,"mean_RMSt","leftAF"
"40",41,0.839047671597981,0.436855845763937,"timeintervention","leftAF"
"41",42,2.09547516295675,0.152445504170816,"time","leftAF"
"41",42,0.330532244533331,0.719562010558404,"intervention","leftAF"
"41",42,4.65494978781503,0.0331155063488065,"mean_RMSt","leftAF"
"41",42,0.862770719330467,0.426821484195313,"timeintervention","leftAF"
"42",43,2.48234177453846,0.11983983506461,"time","leftAF"
"42",43,0.40862382343179,0.665991999121069,"intervention","leftAF"
"42",43,3.50270348869362,0.0638926429844113,"mean_RMSt","leftAF"
"42",43,0.743664693225023,0.479372527090668,"timeintervention","leftAF"
"43",44,3.08990604706301,0.0833203871490745,"time","leftAF"
"43",44,0.608539479884008,0.546699946438231,"intervention","leftAF"
"43",44,2.90807761947788,0.0909811124039192,"mean_RMSt","leftAF"
"43",44,0.656831322339464,0.521877749980779,"timeintervention","leftAF"
"44",45,4.00597376915762,0.0493394039192042,"time","leftAF"
"44",45,0.808551011557004,0.449141641325831,"intervention","leftAF"
"44",45,2.59899526105419,0.109872886739488,"mean_RMSt","leftAF"
"44",45,0.637551826341498,0.531810515491024,"timeintervention","leftAF"
