"model","node","fstat","pval","variable","tract"
"62",63,0,0,"Residuals","leftAF"
"63",64,0.249331588211688,0.619111917003107,"risk","leftAF"
"63",64,0.180213654923487,0.67249163126045,"mean_RMSt","leftAF"
"63",64,0,0,"Residuals","leftAF"
"64",65,0.696613275888474,0.406763474514198,"risk","leftAF"
"64",65,0.232693373655997,0.631038907842783,"mean_RMSt","leftAF"
"64",65,0,0,"Residuals","leftAF"
"65",66,1.17554815482564,0.281984426931343,"risk","leftAF"
"65",66,0.284566501342136,0.595413472095421,"mean_RMSt","leftAF"
"65",66,0,0,"Residuals","leftAF"
"66",67,1.70993042877728,0.195272904142997,"risk","leftAF"
"66",67,0.166214302151829,0.684742655937077,"mean_RMSt","leftAF"
"66",67,0,0,"Residuals","leftAF"
"67",68,1.97473155236521,0.164369175452742,"risk","leftAF"
"67",68,0.0891800822969427,0.766106831029326,"mean_RMSt","leftAF"
"67",68,0,0,"Residuals","leftAF"
"68",69,1.98357751092794,0.163440195795455,"risk","leftAF"
"68",69,0.061448624821824,0.804946526692484,"mean_RMSt","leftAF"
"68",69,0,0,"Residuals","leftAF"
"69",70,1.67596108985644,0.199716236495544,"risk","leftAF"
"69",70,0.0205089616601869,0.886536174360239,"mean_RMSt","leftAF"
"69",70,0,0,"Residuals","leftAF"
"7",8,2.82018905997974,0.0975440144411644,"risk","leftAF"
"7",8,0.386995807163993,0.535903845185062,"mean_RMSt","leftAF"
"7",8,0,0,"Residuals","leftAF"
"70",71,1.24263714123794,0.268776076593487,"risk","leftAF"
"70",71,0.0020253628474265,0.964232234562474,"mean_RMSt","leftAF"
"70",71,0,0,"Residuals","leftAF"
"71",72,0.856567991001212,0.35788069020014,"risk","leftAF"
"71",72,0.042834997844041,0.836637145886966,"mean_RMSt","leftAF"
"71",72,0,0,"Residuals","leftAF"
"72",73,0.816334438252705,0.369352920088099,"risk","leftAF"
"72",73,0.121824101392769,0.728112199991705,"mean_RMSt","leftAF"
"72",73,0,0,"Residuals","leftAF"
"73",74,1.30988536671769,0.256313820081001,"risk","leftAF"
"73",74,0.136857020774913,0.712542695068062,"mean_RMSt","leftAF"
"73",74,0,0,"Residuals","leftAF"
"74",75,2.41757418333621,0.124490506444001,"risk","leftAF"
"74",75,0.192356389693675,0.662313276455217,"mean_RMSt","leftAF"
"74",75,0,0,"Residuals","leftAF"
"75",76,3.52309838529024,0.0646869821192233,"risk","leftAF"
"75",76,0.274197291121815,0.602183915814353,"mean_RMSt","leftAF"
"75",76,0,0,"Residuals","leftAF"
"76",77,3.56323659153826,0.0632181858623534,"risk","leftAF"
"76",77,0.62540031603349,0.431718798977667,"mean_RMSt","leftAF"
"76",77,0,0,"Residuals","leftAF"
"77",78,3.15819131277221,0.0798910781810593,"risk","leftAF"
"77",78,0.990616399616474,0.323019919715761,"mean_RMSt","leftAF"
"77",78,0,0,"Residuals","leftAF"
"78",79,2.47589594106539,0.120112828442978,"risk","leftAF"
"78",79,1.1020189326783,0.297434302126495,"mean_RMSt","leftAF"
"78",79,0,0,"Residuals","leftAF"
"79",80,3.15241101780826,0.0801615010235424,"risk","leftAF"
"79",80,1.70200744477621,0.196298627295713,"mean_RMSt","leftAF"
"79",80,0,0,"Residuals","leftAF"
"8",9,2.06827234043402,0.154847716872695,"risk","leftAF"
"8",9,0.329956587863916,0.567526085881216,"mean_RMSt","leftAF"
"8",9,0,0,"Residuals","leftAF"
"80",81,3.31622880877015,0.0728725703246688,"risk","leftAF"
"80",81,2.68714655561889,0.105647881127287,"mean_RMSt","leftAF"
"80",81,0,0,"Residuals","leftAF"
"81",82,2.92034264759541,0.0918998585959135,"risk","leftAF"
"81",82,4.48728109413302,0.0376995615338374,"mean_RMSt","leftAF"
"81",82,0,0,"Residuals","leftAF"
"82",83,3.16001388396223,0.0798060202076951,"risk","leftAF"
"82",83,8.60525161025427,0.00452825238291788,"mean_RMSt","leftAF"
"82",83,0,0,"Residuals","leftAF"
"83",84,2.90149144494406,0.0929338833685863,"risk","leftAF"
"83",84,11.302072124519,0.00125762902609771,"mean_RMSt","leftAF"
"83",84,0,0,"Residuals","leftAF"
"84",85,3.35257612063063,0.0713559103635623,"risk","leftAF"
"84",85,10.7455118369426,0.0016294237856238,"mean_RMSt","leftAF"
"84",85,0,0,"Residuals","leftAF"
"85",86,4.29702183210576,0.0418623459221273,"risk","leftAF"
"85",86,8.55829812648712,0.00463328024654243,"mean_RMSt","leftAF"
"85",86,0,0,"Residuals","leftAF"
"86",87,3.58685132213506,0.0623710514269739,"risk","leftAF"
"86",87,5.14132677292162,0.0264527177801608,"mean_RMSt","leftAF"
"86",87,0,0,"Residuals","leftAF"
"87",88,1.73057384495899,0.192630209734675,"risk","leftAF"
"87",88,3.22638127360578,0.0767755641096259,"mean_RMSt","leftAF"
"87",88,0,0,"Residuals","leftAF"
