".y.","group1","group2","effsize","node","tract","n1","n2","conf.low","conf.high","magnitude"
"pre","0","1",0.408026558231811,15,"Left_Arcuate",27,56,-0.06,0.85,"small"
"pre","0","1",0.0349847964855362,15,"Left_IFOF",27,56,-0.46,0.51,"negligible"
"pre","0","1",0.388563649934475,15,"Left_ILF",27,56,-0.07,0.86,"small"
"pre","0","1",0.355801237220266,15,"Left_SLF",27,56,-0.12,0.87,"small"
"pre","0","1",0.713806524937897,15,"Right_Arcuate",27,56,0.14,1.41,"moderate"
"pre","0","1",0.28303407435238,15,"Right_IFOF",27,56,-0.24,0.8,"small"
"pre","0","1",0.168717159265111,15,"Right_ILF",27,56,-0.32,0.64,"negligible"
"pre","0","1",0.338003777161129,15,"Right_SLF",27,56,-0.1,0.83,"small"
"pre","0","1",0.546910606288051,16,"Left_Arcuate",27,56,0.05,1.01,"moderate"
"pre","0","1",0.100009463575869,16,"Left_IFOF",27,56,-0.39,0.6,"negligible"
"pre","0","1",0.306481270462476,16,"Left_ILF",27,56,-0.11,0.83,"small"
"pre","0","1",0.367440408433982,16,"Left_SLF",27,56,-0.08,0.9,"small"
"pre","0","1",0.504350179341255,16,"Right_Arcuate",27,56,-0.06,1.11,"moderate"
"pre","0","1",0.249905174884117,16,"Right_IFOF",27,56,-0.24,0.73,"small"
"pre","0","1",0.167723090705745,16,"Right_ILF",27,56,-0.32,0.66,"negligible"
"pre","0","1",0.357771387382642,16,"Right_SLF",27,56,-0.15,0.84,"small"
"pre","0","1",0.6215950052184,17,"Left_Arcuate",27,56,0.17,1.07,"moderate"
"pre","0","1",0.155107555229285,17,"Left_IFOF",27,56,-0.32,0.69,"negligible"
"pre","0","1",0.21958802957787,17,"Left_ILF",27,56,-0.22,0.71,"small"
"pre","0","1",0.394025960592469,17,"Left_SLF",27,56,-0.03,0.85,"small"
"pre","0","1",0.313569901778487,17,"Right_Arcuate",27,56,-0.26,0.87,"small"
"pre","0","1",0.197322498909414,17,"Right_IFOF",27,56,-0.25,0.71,"negligible"
"pre","0","1",0.183689699868049,17,"Right_ILF",27,56,-0.28,0.63,"negligible"
"pre","0","1",0.352215736862324,17,"Right_SLF",27,56,-0.13,0.88,"small"
"pre","0","1",0.621412316213249,18,"Left_Arcuate",27,56,0.12,1.1,"moderate"
"pre","0","1",0.216401353649669,18,"Left_IFOF",27,56,-0.26,0.74,"small"
"pre","0","1",0.147146082805364,18,"Left_ILF",27,56,-0.3,0.66,"negligible"
"pre","0","1",0.408422679108669,18,"Left_SLF",27,56,-0.04,0.86,"small"
"pre","0","1",0.171652804453516,18,"Right_Arcuate",27,56,-0.45,0.73,"negligible"
"pre","0","1",0.137166697415943,18,"Right_IFOF",27,56,-0.33,0.63,"negligible"
"pre","0","1",0.195735199549882,18,"Right_ILF",27,56,-0.27,0.67,"negligible"
"pre","0","1",0.335103410678844,18,"Right_SLF",27,56,-0.09,0.82,"small"
"pre","0","1",0.66514057862333,19,"Left_Arcuate",27,56,0.16,1.16,"moderate"
"pre","0","1",0.294012032074647,19,"Left_IFOF",27,56,-0.15,0.8,"small"
"pre","0","1",0.0849196156540287,19,"Left_ILF",27,56,-0.39,0.58,"negligible"
"pre","0","1",0.408044469165101,19,"Left_SLF",27,56,-0.08,0.9,"small"
"pre","0","1",0.0476302317825756,19,"Right_Arcuate",27,56,-0.56,0.58,"negligible"
"pre","0","1",0.100079920560165,19,"Right_IFOF",27,56,-0.3,0.57,"negligible"
"pre","0","1",0.186213274535581,19,"Right_ILF",27,56,-0.31,0.63,"negligible"
"pre","0","1",0.339967479241378,19,"Right_SLF",27,56,-0.15,0.85,"small"
