"time","risk","tract","node","mean_fa","sd","se"
"ses-01","0","Left_ILF",7,0.359561538461538,0.0293186936533411,0.00574986888659366
"ses-01","0","Left_ILF",8,0.369346153846154,0.0325426762362192,0.00638214389050053
"ses-01","0","Left_ILF",9,0.378653076923077,0.0362888072848068,0.00711682063347069
"ses-01","0","Left_ILF",10,0.388303846153846,0.0379802397124529,0.00744853782402804
"ses-01","0","Left_ILF",11,0.399796538461538,0.039932643482976,0.00783143570573224
"ses-01","0","Left_ILF",12,0.413311923076923,0.0415907729208517,0.00815662164264727
"ses-01","0","Left_ILF",13,0.425022692307692,0.0394044768581127,0.00772785370855508
"ses-01","0","Left_ILF",14,0.434448461538462,0.0370405644333137,0.00726425233999836
"ses-01","0","Left_ILF",15,0.442448076923077,0.0363856516796641,0.00713581338189991
"ses-01","0","Left_ILF",16,0.449829615384615,0.0392834007164114,0.00770410872358718
"ses-01","0","Left_ILF",17,0.457026153846154,0.0427158897907487,0.00837727521475024
"ses-01","0","Left_ILF",18,0.465018846153846,0.0451403279852438,0.00885274666333602
"ses-01","0","Left_ILF",19,0.472803846153846,0.0480410115694433,0.009421617517128
"ses-01","0","Left_ILF",20,0.478523461538462,0.0507825158055256,0.00995927073237343
"ses-01","0","Left_ILF",21,0.484126923076923,0.0541126015467178,0.0106123542776148
"ses-01","0","Left_ILF",22,0.489922307692308,0.0559657434727847,0.0109757853100176
"ses-01","0","Left_ILF",23,0.495290384615385,0.0561857980974388,0.011018941572524
"ses-01","0","Left_ILF",24,0.500569615384615,0.0553071809790208,0.0108466305789936
"ses-01","0","Left_ILF",25,0.505153461538462,0.054915003992884,0.0107697183441823
"ses-01","0","Left_ILF",26,0.50805,0.0555457333014877,0.0108934145385041
"ses-01","0","Left_ILF",27,0.508762307692308,0.0563788171076827,0.0110567957148213
"ses-01","0","Left_ILF",28,0.508051923076923,0.0560617036501197,0.0109946046491237
"ses-01","0","Left_ILF",29,0.507566538461538,0.053878158241893,0.0105663761627636
"ses-01","0","Left_ILF",30,0.507060769230769,0.0513828396197078,0.0100770039186423
"ses-01","0","Left_ILF",31,0.506774230769231,0.0487642600413932,0.00956345821219141
"ses-01","0","Left_ILF",32,0.506626538461538,0.0463384102396539,0.00908770992464858
"ses-01","0","Left_ILF",33,0.506185,0.0441910259894472,0.00866657322484143
"ses-01","0","Left_ILF",34,0.505098846153846,0.0427627432540919,0.00838646393489896
"ses-01","0","Left_ILF",35,0.503570769230769,0.0429643178391629,0.00842599596346517
"ses-01","0","Left_ILF",36,0.502108846153846,0.0438840714908654,0.00860637449491629
"ses-01","0","Left_ILF",37,0.501843846153846,0.0460245995160782,0.00902616657837599
"ses-01","0","Left_ILF",38,0.502800384615385,0.047915096533829,0.00939692354698755
"ses-01","0","Left_ILF",39,0.504445384615385,0.0496541467537823,0.009737979354936
"ses-01","0","Left_ILF",40,0.506563846153846,0.0508863647809056,0.009979637192063
"ses-01","0","Left_ILF",41,0.509248846153846,0.0514508264910816,0.0100903372410962
"ses-01","0","Left_ILF",42,0.511725,0.0513859316350302,0.0100776103127371
"ses-01","0","Left_ILF",43,0.513091923076923,0.0501593216077914,0.00983705229487325
"ses-01","0","Left_ILF",44,0.513578076923077,0.0476605952140114,0.00934701173175735
"ses-01","0","Left_ILF",45,0.513863076923077,0.0451970164297805,0.00886386418198556
"ses-01","0","Left_ILF",46,0.513625769230769,0.0423176026894792,0.00829916468777388
"ses-01","0","Left_ILF",47,0.513241538461538,0.0404128206085453,0.00792560618778066
"ses-01","0","Left_ILF",48,0.51262,0.0398339252396748,0.00781207546538838
"ses-01","0","Left_ILF",49,0.511315,0.0399429148911293,0.0078334500946017
"ses-01","0","Left_ILF",50,0.509454615384615,0.0408996317079525,0.00802107769913877
"ses-01","0","Left_ILF",51,0.506926923076923,0.0426255339222144,0.00835955497102624
"ses-01","0","Left_ILF",52,0.503525384615385,0.0459173833950298,0.00900513976709146
"ses-01","0","Left_ILF",53,0.499535384615385,0.0498506727120723,0.00977652126633016
"ses-01","0","Left_ILF",54,0.495761153846154,0.0525645422943583,0.0103087548800772
"ses-01","0","Left_ILF",55,0.492260769230769,0.0540351904538572,0.0105971727132662
"ses-01","0","Left_ILF",56,0.488942692307692,0.0545175499491818,0.0106917711932364
"ses-01","0","Left_ILF",57,0.485905384615385,0.0533151120213224,0.0104559537140811
"ses-01","0","Left_ILF",58,0.482431538461538,0.0516013274784522,0.0101198529130738
"ses-01","0","Left_ILF",59,0.478819230769231,0.0497877489286734,0.00976418089712168
"ses-01","0","Left_ILF",60,0.475225,0.0480773836434555,0.00942875066771023
"ses-01","0","Left_ILF",61,0.471565,0.0465904899523497,0.00913714682364922
"ses-01","0","Left_ILF",62,0.467567307692308,0.0460791168802261,0.0090368583131306
"ses-01","0","Left_ILF",63,0.462894615384615,0.0465634352023791,0.00913184095064785
"ses-01","0","Left_ILF",64,0.456779230769231,0.0471086090580545,0.0092387583402013
"ses-01","0","Left_ILF",65,0.449681923076923,0.0466811748797505,0.00915493160112635
"ses-01","0","Left_ILF",66,0.442734615384615,0.0455194639890031,0.00892710135108504
"ses-01","0","Left_ILF",67,0.435403076923077,0.0440176199964724,0.00863256551168941
"ses-01","0","Left_ILF",68,0.427688076923077,0.0436899490518568,0.00856830395243433
"ses-01","0","Left_ILF",69,0.419448846153846,0.0423973215500152,0.00831479884259982
"ses-01","0","Left_ILF",70,0.412640384615385,0.0413556182863484,0.00811050402456866
"ses-01","0","Left_ILF",71,0.407309230769231,0.0407215631255066,0.00798615557695994
"ses-01","0","Left_ILF",72,0.403336538461538,0.0399399080562094,0.00783286040575821
"ses-01","0","Left_ILF",73,0.399275384615385,0.0392081698864682,0.00768935474397548
"ses-01","0","Left_ILF",74,0.39446,0.0386104102024312,0.00757212442500071
"ses-01","0","Left_ILF",75,0.389149230769231,0.0383094204522153,0.00751309547847218
"ses-01","0","Left_ILF",76,0.383869230769231,0.0367391198504348,0.00720513419344582
"ses-01","0","Left_ILF",77,0.379147307692308,0.0341501028470126,0.00669738618492761
"ses-01","0","Left_ILF",78,0.375235769230769,0.0322770249153266,0.00633004538015273
"ses-01","0","Left_ILF",79,0.370874615384615,0.0312287497323565,0.00612446170270735
"ses-01","0","Left_ILF",80,0.367163461538462,0.0314141399936153,0.0061608197242377
"ses-01","0","Left_ILF",81,0.364533846153846,0.0327492905665968,0.00642266429443835
"ses-01","0","Left_ILF",82,0.363738076923077,0.034642848845813,0.00679402162581714
"ses-01","0","Left_ILF",83,0.364043076923077,0.0375921112755568,0.00737241957504675
"ses-01","0","Left_ILF",84,0.363998076923077,0.0397539218713556,0.00779638551399559
"ses-01","0","Left_ILF",85,0.364296538461538,0.0393018621383066,0.00770772930629843
"ses-01","0","Left_ILF",86,0.365557307692308,0.0373884635210052,0.00733248096449453
"ses-01","0","Left_ILF",87,0.367355769230769,0.0367833062323742,0.0072137998558975
"ses-01","0","Left_ILF",88,0.368389230769231,0.0360364041405995,0.00706732030433202
"ses-01","0","Left_ILF",89,0.367441538461538,0.0379365802035247,0.00743997548987501
"ses-01","0","Left_ILF",90,0.366334615384615,0.0408651883373386,0.00801432279841284
"ses-01","0","Left_ILF",91,0.363684230769231,0.0413439484493755,0.00810821538124383
"ses-01","0","Left_ILF",92,0.360095769230769,0.0379422745942387,0.00744109225177381
"ses-01","0","Left_ILF",93,0.353646538461538,0.0374272678075553,0.00734009111119951
"ses-01","0","Left_ILF",94,0.345406153846154,0.0424766047679824,0.00833034756088887
"ses-01","0","Left_ILF",95,0.337975769230769,0.0441958501375934,0.0086675193181312
"ses-01","0","Left_ILF",96,0.325045384615385,0.0387527660154234,0.0076000426968592
"ses-01","0","Left_ILF",97,0.301998461538462,0.0300398124750882,0.0058912919228901
"ses-01","0","Left_ILF",98,0.271468461538462,0.0203780530360106,0.00399646500306334
"ses-01","0","Left_ILF",99,0.228742692307692,0.00802960948375065,0.00157473597862209
"ses-01","0","Left_SLF",2,0.214995769230769,0.0110027946170332,0.00215782555601177
"ses-01","0","Left_SLF",3,0.245492307692308,0.0141902936707292,0.00278294555117925
"ses-01","0","Left_SLF",4,0.270103846153846,0.0175910888979445,0.00344989636753708
"ses-01","0","Left_SLF",5,0.290325384615385,0.0210644305369539,0.00413107470579413
"ses-01","0","Left_SLF",6,0.307188076923077,0.0243574067616782,0.004776880476089
"ses-01","0","Left_SLF",7,0.323070384615385,0.030067261595399,0.0058966751382784
"ses-01","0","Left_SLF",8,0.338952692307692,0.037571587302928,0.0073683944928571
"ses-01","0","Left_SLF",9,0.354357307692308,0.0445558194230736,0.00873811510316802
"ses-01","0","Left_SLF",10,0.369955,0.0494344298844439,0.00969488933169668
"ses-01","0","Left_SLF",11,0.386927692307692,0.0524579668921846,0.0102878537241021
"ses-01","0","Left_SLF",12,0.404391153846154,0.0568396253560435,0.0111471676475296
"ses-01","0","Left_SLF",13,0.419176923076923,0.0625957027131563,0.012276027292363
"ses-01","0","Left_SLF",14,0.429008846153846,0.0663002000194221,0.0130025389866976
"ses-01","0","Left_SLF",15,0.436262692307692,0.0647192131940859,0.0126924819608083
"ses-01","0","Left_SLF",16,0.443111153846154,0.0607113875530397,0.0119064826857786
"ses-01","0","Left_SLF",17,0.449133461538462,0.0575453964756388,0.0112855807517968
"ses-01","0","Left_SLF",18,0.453251923076923,0.0579435113205426,0.0113636574965204
"ses-01","0","Left_SLF",19,0.454547692307692,0.0601841024396106,0.011803073567217
"ses-01","0","Left_SLF",20,0.453107307692308,0.0641063298938688,0.012572285656679
"ses-01","0","Left_SLF",21,0.447958846153846,0.0667817148822594,0.0130969718206089
"ses-01","0","Left_SLF",22,0.44079,0.0683513880473542,0.0134048100551774
"ses-01","0","Left_SLF",23,0.432522692307692,0.0695193627449327,0.0136338687388057
"ses-01","0","Left_SLF",24,0.424913076923077,0.0697725232892852,0.0136835176063336
"ses-01","0","Left_SLF",25,0.41866,0.0696369966612576,0.0136569386478365
"ses-01","0","Left_SLF",26,0.414431538461538,0.0685372918456694,0.0134412687896105
"ses-01","0","Left_SLF",27,0.411816153846154,0.0657712320746342,0.0128987998377538
"ses-01","0","Left_SLF",28,0.409983076923077,0.0627940116106134,0.0123149188668957
"ses-01","0","Left_SLF",29,0.409033076923077,0.0600040601805732,0.011767764375213
