"time","intervention","tract","node","mean_fa","sd","se"
"ses-01","ActiveControl","Left_IFOF",81,0.414153333333333,0.0706232893126151,0.015411265195325
"ses-01","ActiveControl","Left_IFOF",82,0.418844285714286,0.0693839120813628,0.0151408109107146
"ses-01","ActiveControl","Left_IFOF",83,0.418173333333333,0.0631237092805337,0.0137747226630682
"ses-01","ActiveControl","Left_IFOF",84,0.410200952380952,0.0578969367846661,0.0126341473962765
"ses-01","ActiveControl","Left_IFOF",85,0.400119047619048,0.0533289913559934,0.0116373399821184
"ses-01","ActiveControl","Left_IFOF",86,0.389789523809524,0.0561281338970209,0.0122481629618912
"ses-01","ActiveControl","Left_IFOF",87,0.383729047619048,0.0600408032844966,0.0131019774208171
"ses-01","ActiveControl","Left_IFOF",88,0.381559523809524,0.0653084101380665,0.0142514634749958
"ses-01","ActiveControl","Left_IFOF",89,0.381519047619048,0.0683823491044847,0.0149222519509618
"ses-01","ActiveControl","Left_IFOF",90,0.379019523809524,0.0641898283590314,0.0140073689191183
"ses-01","ActiveControl","Left_IFOF",91,0.375674761904762,0.0562863838436124,0.0122826959313664
"ses-01","ActiveControl","Left_IFOF",92,0.373826190476191,0.0463014614754427,0.0101038072380142
"ses-01","ActiveControl","Left_IFOF",93,0.373612857142857,0.037022802992596,0.00807903795966707
"ses-01","ActiveControl","Left_IFOF",94,0.373396666666667,0.0286550488279698,0.00625304429984892
"ses-01","ActiveControl","Left_IFOF",95,0.36646380952381,0.0293920617643932,0.00641387370791186
"ses-01","ActiveControl","Left_IFOF",96,0.348814285714286,0.0286340289815158,0.00624845739330264
"ses-01","ActiveControl","Left_IFOF",97,0.324757619047619,0.0274394083217481,0.0059877697932958
"ses-01","ActiveControl","Left_IFOF",98,0.29348380952381,0.0211764962815359,0.00462109034114711
"ses-01","ActiveControl","Left_IFOF",99,0.248770952380952,0.0119301805957671,0.00260337883974268
"ses-01","ActiveControl","Left_ILF",2,0.237396363636364,0.0293734797046028,0.00626244691487829
"ses-01","ActiveControl","Left_ILF",3,0.275081818181818,0.0248480273503444,0.00529761723111723
"ses-01","ActiveControl","Left_ILF",4,0.303442727272727,0.0252868569629548,0.00539117601888382
"ses-01","ActiveControl","Left_ILF",5,0.323308181818182,0.0268229923824006,0.00571868119072889
"ses-01","ActiveControl","Left_ILF",6,0.337358181818182,0.0308948484897315,0.0065868038297088
"ses-01","ActiveControl","Left_ILF",7,0.349936363636364,0.0348767543740956,0.00743574901671585
"ses-01","ActiveControl","Left_ILF",8,0.361901363636364,0.0371613336291846,0.007922822950472
"ses-01","ActiveControl","Left_ILF",9,0.374813636363636,0.0369834822262014,0.00788490490395113
"ses-01","ActiveControl","Left_ILF",10,0.386145909090909,0.0341562518378465,0.0072821373598515
"ses-01","ActiveControl","Left_ILF",11,0.395474545454545,0.0326757554985741,0.00696649447975678
"ses-01","ActiveControl","Left_ILF",12,0.403796818181818,0.0338000797951106,0.00720620122519437
"ses-01","ActiveControl","Left_ILF",13,0.412095909090909,0.0373570629082935,0.00796455257298978
"ses-01","ActiveControl","Left_ILF",14,0.420432727272727,0.0415100331167135,0.00884996879642842
"ses-01","ActiveControl","Left_ILF",15,0.430286818181818,0.0443961349010907,0.00946528776433285
"ses-01","ActiveControl","Left_ILF",16,0.441825909090909,0.0470821021154577,0.0100379378985436
"ses-01","ActiveControl","Left_ILF",17,0.452533181818182,0.0490555955146679,0.0104586881049783
"ses-01","ActiveControl","Left_ILF",18,0.463928636363636,0.0500352774878889,0.0106675570034697
"ses-01","ActiveControl","Left_ILF",19,0.474904090909091,0.0509424169467085,0.0108609597859244
"ses-01","ActiveControl","Left_ILF",20,0.482878181818182,0.0505421860228203,0.0107756302662438
"ses-01","ActiveControl","Left_ILF",21,0.489789090909091,0.0490106755046277,0.010449111126659
"ses-01","ActiveControl","Left_ILF",22,0.495877272727273,0.0461521358100234,0.0098396684160384
"ses-01","ActiveControl","Left_ILF",23,0.501141818181818,0.043462733750976,0.00926628597048124
"ses-01","ActiveControl","Left_ILF",24,0.506595454545455,0.0410122901123522,0.0087438496313376
"ses-01","ActiveControl","Left_ILF",25,0.511210454545455,0.0416517361985665,0.0088801799949893
"ses-01","ActiveControl","Left_ILF",26,0.514026363636364,0.0438812467315893,0.00935551323775212
"ses-01","ActiveControl","Left_ILF",27,0.515157727272727,0.0467325293999004,0.00996340874516839
"ses-01","ActiveControl","Left_ILF",28,0.515808181818182,0.0489192049770273,0.0104296095446492
"ses-01","ActiveControl","Left_ILF",29,0.516436363636364,0.05059927352626,0.0107878013628721
"ses-01","ActiveControl","Left_ILF",30,0.515718181818182,0.0517171477168392,0.011026132941099
"ses-01","ActiveControl","Left_ILF",31,0.513947727272727,0.052952288491561,0.0112894658390698
"ses-01","ActiveControl","Left_ILF",32,0.510925909090909,0.0533780666262206,0.0113802420423877
"ses-01","ActiveControl","Left_ILF",33,0.508314545454546,0.054336516418061,0.011584584224599
"ses-01","ActiveControl","Left_ILF",34,0.505418181818182,0.0555095725452453,0.01183468063124
"ses-01","ActiveControl","Left_ILF",35,0.503968636363636,0.0572891418529063,0.0122140860824378
"ses-01","ActiveControl","Left_ILF",36,0.504313636363636,0.0582750992763719,0.0124242929114168
"ses-01","ActiveControl","Left_ILF",37,0.506046363636364,0.0574396686011012,0.0122461784929836
"ses-01","ActiveControl","Left_ILF",38,0.507600909090909,0.0555292395657751,0.0118388736541056
"ses-01","ActiveControl","Left_ILF",39,0.509162272727273,0.0535885367034529,0.0114251144136251
"ses-01","ActiveControl","Left_ILF",40,0.511076363636364,0.0526642291671134,0.0112280513847446
"ses-01","ActiveControl","Left_ILF",41,0.513344545454546,0.0535441329965756,0.01141564751151
"ses-01","ActiveControl","Left_ILF",42,0.515142727272727,0.0547050521895824,0.01166315631509
"ses-01","ActiveControl","Left_ILF",43,0.516642727272727,0.0553622297051164,0.0118032670321747
"ses-01","ActiveControl","Left_ILF",44,0.517004545454546,0.0553380334831619,0.0117981083803209
"ses-01","ActiveControl","Left_ILF",45,0.516234090909091,0.0541571969151435,0.0115463531781204
"ses-01","ActiveControl","Left_ILF",46,0.514334090909091,0.0534156551565257,0.0113882559439755
"ses-01","ActiveControl","Left_ILF",47,0.512451363636364,0.0536133609231927,0.0114304069550566
"ses-01","ActiveControl","Left_ILF",48,0.510205909090909,0.0543801281683888,0.0115938822810104
"ses-01","ActiveControl","Left_ILF",49,0.507201818181818,0.0545976032647138,0.0116402481273364
"ses-01","ActiveControl","Left_ILF",50,0.504580454545455,0.0537540445855692,0.0114604008126548
"ses-01","ActiveControl","Left_ILF",51,0.502090454545455,0.0527722690955945,0.0112510855748918
"ses-01","ActiveControl","Left_ILF",52,0.4993,0.0509808400050357,0.0108691516094844
"ses-01","ActiveControl","Left_ILF",53,0.494876818181818,0.0487147606834064,0.0103860218747944
"ses-01","ActiveControl","Left_ILF",54,0.488988181818182,0.0470429573329742,0.0100295922028765
"ses-01","ActiveControl","Left_ILF",55,0.482903636363636,0.0459979522883205,0.00980679637876113
"ses-01","ActiveControl","Left_ILF",56,0.47775,0.0452946855917683,0.00965685941526715
"ses-01","ActiveControl","Left_ILF",57,0.473344545454545,0.0443907881614313,0.00946414783560731
"ses-01","ActiveControl","Left_ILF",58,0.469727272727273,0.044157383698142,0.00941438583683343
"ses-01","ActiveControl","Left_ILF",59,0.466469545454546,0.044228349933937,0.00942951588914199
"ses-01","ActiveControl","Left_ILF",60,0.462458181818182,0.044200960950162,0.00942367653818091
"ses-01","ActiveControl","Left_ILF",61,0.458180454545455,0.0448870060185279,0.00956994183820875
"ses-01","ActiveControl","Left_ILF",62,0.453704545454546,0.0465470880606554,0.00992387251879941
"ses-01","ActiveControl","Left_ILF",63,0.449437727272727,0.0480577386793188,0.0102459443128615
"ses-01","ActiveControl","Left_ILF",64,0.444629545454545,0.0496139207113788,0.0105777234368764
"ses-01","ActiveControl","Left_ILF",65,0.439910454545455,0.0506227940826653,0.0107928159623468
"ses-01","ActiveControl","Left_ILF",66,0.435138181818182,0.050538617072338,0.0107748693634443
"ses-01","ActiveControl","Left_ILF",67,0.429784090909091,0.049726408396257,0.0106017058918736
"ses-01","ActiveControl","Left_ILF",68,0.424,0.0486898660620756,0.0103807143236932
"ses-01","ActiveControl","Left_ILF",69,0.417737272727273,0.0482941752557838,0.0102963527603365
"ses-01","ActiveControl","Left_ILF",70,0.411547727272727,0.0484992930662095,0.0103400840244566
"ses-01","ActiveControl","Left_ILF",71,0.406647272727273,0.0481583592290722,0.010267396686149
"ses-01","ActiveControl","Left_ILF",72,0.403010909090909,0.047939897680433,0.010220820527483
"ses-01","ActiveControl","Left_ILF",73,0.398916363636364,0.0478029180764457,0.0101916163777868
"ses-01","ActiveControl","Left_ILF",74,0.394287272727273,0.0484860710662958,0.0103372650846033
"ses-01","ActiveControl","Left_ILF",75,0.38915,0.0497991879834353,0.0106172225519961
"ses-01","ActiveControl","Left_ILF",76,0.382677272727273,0.050597375349002,0.0107873966701209
"ses-01","ActiveControl","Left_ILF",77,0.375537272727273,0.0507525790272975,0.0108204862055146
"ses-01","ActiveControl","Left_ILF",78,0.368463636363636,0.0497307854778348,0.0106026390888016
"ses-01","ActiveControl","Left_ILF",79,0.363492727272727,0.0477432582308069,0.0101788968559589
"ses-01","ActiveControl","Left_ILF",80,0.360732272727273,0.0440715934784709,0.00939609530054325
"ses-01","ActiveControl","Left_ILF",81,0.359604090909091,0.0408199930775164,0.00870285176575755
"ses-01","ActiveControl","Left_ILF",82,0.359330909090909,0.0387061728692184,0.00825218378310145
"ses-01","ActiveControl","Left_ILF",83,0.359119090909091,0.0382083203241302,0.00814604126384919
